epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.639298,3.39993,4.85762,2.19015,0,0,0,0,4.05131,4.23412,1.84588,4e-05,4e-05,4e-05
2,1.23098,3.34667,5.43501,2.10898,0.00333,1,0.00709,0.00114,3.03529,3.9641,1.78717,9.802e-05,9.802e-05,9.802e-05
3,1.80943,2.37317,4.11573,1.71704,0.00333,1,0.17144,0.02256,2.49332,3.4306,1.54335,0.000153664,0.000153664,0.000153664
4,2.39871,1.40531,3.77004,1.34585,0.00333,1,0.995,0.4171,1.49039,3.31135,1.59353,0.000206932,0.000206932,0.000206932
5,2.99463,1.26073,2.82827,1.2233,0.00333,1,0.995,0.47734,1.16422,3.21188,1.54188,0.000257824,0.000257824,0.000257824
6,3.61058,1.06744,2.40185,1.23009,0.00333,1,0.995,0.55315,1.11238,3.02789,1.56742,0.00030634,0.00030634,0.00030634
7,4.1758,0.9176,2.19456,1.194,0.00333,1,0.995,0.60268,1.13497,2.98136,1.56644,0.00035248,0.00035248,0.00035248
8,4.77765,0.8664,2.32022,1.15219,0.00333,1,0.71071,0.23488,0.85941,3.17611,1.6588,0.000396244,0.000396244,0.000396244
9,5.33455,1.01995,2.34867,1.21972,0.00333,1,0.38269,0.14436,0.99727,3.20788,1.65546,0.000437632,0.000437632,0.000437632
10,5.90611,0.81092,2.47518,1.13821,0.00333,1,0.4975,0.15188,0.82797,3.35742,1.67383,0.000476644,0.000476644,0.000476644
11,6.48532,0.95743,2.15216,1.21213,0.00333,1,0.995,0.20879,0.82792,3.29738,1.66377,0.00051328,0.00051328,0.00051328
12,7.0493,0.94897,2.48144,1.19896,0.00333,1,0.995,0.67653,0.89874,3.02183,1.26818,0.00054754,0.00054754,0.00054754
13,7.64393,1.02478,2.57502,1.14951,0.00744,1,0.995,0.5041,1.1602,2.79441,1.34279,0.000579424,0.000579424,0.000579424
14,8.21348,1.06266,1.89307,1.18217,0.92009,1,0.995,0.59706,1.34252,2.54456,1.22368,0.000608932,0.000608932,0.000608932
15,8.79991,0.8533,1.96948,1.19313,0.92009,1,0.995,0.59706,1.34252,2.54456,1.22368,0.000636064,0.000636064,0.000636064
16,9.39813,0.92975,2.33902,1.15911,0.88027,1,0.995,0.49888,1.30548,2.89373,1.44253,0.00066082,0.00066082,0.00066082
17,9.95351,0.98403,1.86461,1.16133,0.84835,1,0.995,0.32685,1.21442,3.08762,1.53858,0.0006832,0.0006832,0.0006832
18,10.5254,0.8491,2.02278,1.06401,0.84835,1,0.995,0.32685,1.21442,3.08762,1.53858,0.000703204,0.000703204,0.000703204
19,11.105,0.86806,1.98969,1.06009,0.00777,1,0.995,0.29037,1.04997,3.0635,1.51118,0.000720832,0.000720832,0.000720832
20,11.7006,0.93411,2.37968,1.05662,0.00333,1,0.27663,0.06306,0.98564,3.37034,1.62164,0.000736084,0.000736084,0.000736084
21,12.2322,0.87834,1.89732,1.13085,0.00333,1,0.27663,0.06306,0.98564,3.37034,1.62164,0.00074896,0.00074896,0.00074896
22,12.8027,1.02034,2.23949,1.23946,0.00333,1,0.995,0.76403,0.89815,2.61591,1.27021,0.00075946,0.00075946,0.00075946
23,14.0404,0.91034,1.8103,1.19235,0.00333,1,0.995,0.76403,0.89815,2.61591,1.27021,0.000767584,0.000767584,0.000767584
24,14.6299,1.032,1.82594,1.15359,0.10001,1,0.995,0.7094,0.87878,2.3505,1.19856,0.000773332,0.000773332,0.000773332
25,15.1788,1.0263,1.8672,1.20834,0.10001,1,0.995,0.7094,0.87878,2.3505,1.19856,0.000776704,0.000776704,0.000776704
26,15.7389,0.83054,2.06012,1.14242,0.48952,1,0.92833,0.71069,0.77326,2.04788,1.35986,0.0007777,0.0007777,0.0007777
